com.samsung.shealth.activity.day_summary,6305105,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,62670070,0,7835827,15833,200,8293880,90,0,62670070,2024-07-19 22:17:30.720,10,2024-07-18 21:06:00.704,0.0,30,30,-1,3840000,153,7,0,8,12285.847,0,503.75833,b8f36455-58cc-445e-8d3c-4460d19c154d.extra_data.json,8pzzg0NREq,1200,com.sec.android.app.shealth,8292680,43140000,b8f36455-58cc-445e-8d3c-4460d19c154d,2024-07-19 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:46:58.330,10,2024-07-18 21:06:01.430,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,a5a76ed6-b232-4f8d-8420-b14e500cc4ea.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,a5a76ed6-b232-4f8d-8420-b14e500cc4ea,2024-07-18 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:46:58.536,10,2024-07-18 21:06:01.604,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,25fc42c1-b0bd-4af8-9567-4f01e8d285dc.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,25fc42c1-b0bd-4af8-9567-4f01e8d285dc,2024-07-17 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:46:58.719,10,2024-07-18 21:06:01.846,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,9dc2d7cd-7c4b-4bdc-a79e-49a27c9e2f45.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,9dc2d7cd-7c4b-4bdc-a79e-49a27c9e2f45,2024-07-16 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:46:58.953,10,2024-07-18 21:06:01.959,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,dfd8297a-be58-4359-8fe4-1cda4f16a160.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,dfd8297a-be58-4359-8fe4-1cda4f16a160,2024-07-15 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:46:59.139,10,2024-07-18 21:06:02.079,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,6cd8b44d-58ed-4165-80db-32aa47c43436.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,6cd8b44d-58ed-4165-80db-32aa47c43436,2024-07-14 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:46:59.330,10,2024-07-18 21:06:02.239,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,23f15a23-91b1-40fb-8126-2a024a64db81.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,23f15a23-91b1-40fb-8126-2a024a64db81,2024-07-13 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:46:59.506,10,2024-07-18 21:06:02.414,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,5d85ef57-cc28-4700-bd78-9f489a7c5bdf.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,5d85ef57-cc28-4700-bd78-9f489a7c5bdf,2024-07-12 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:46:59.689,10,2024-07-18 21:06:02.557,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,3c9406ec-80f9-4240-bb2f-07123cc83449.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,3c9406ec-80f9-4240-bb2f-07123cc83449,2024-07-11 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:46:59.947,10,2024-07-18 21:06:02.803,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,a94189ac-1441-4c0c-85e8-8a30cad3123e.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,a94189ac-1441-4c0c-85e8-8a30cad3123e,2024-07-10 00:00:00.000,
